대상,정책명,요약,링크
신혼부부,신혼부부 임차보증금 반환보증 보증료 지원,신혼부부 임차보증금 이자지원 신규 대출자 대상(’24.7.30. 이후) 임차보증금 미반환 피해를 예방하고자 가입한 임차보증금 반환보증의 보증료를 지원하는 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_0400811
신혼부부,전세보증금 반환보증 보증료 지원,전세 피해 예방을 위한 전세보증금 반환보증료 지원사업의 대상이 청년에서 전 연령층으로 확대 시행 됩니다.,https://housing.seoul.go.kr/site/main/content/sh01_061030
신혼부부,신혼부부 임차보증금 이자지원,신혼부부들의 행복한 미래를 위해 더 나은 주거환경과 소득대비 높은 주거비 부담을 완화하기 위해 신혼부부 임차보증금 지원사업을 시행합니다.,https://housing.seoul.go.kr/site/main/content/sh01_0400800
신혼부부,건물 에너지 효율화 사업 융자지원,"에너지 이용 효율을 높이고 온실가스를 감축하기 위해 건물 단열공사, LED 조명교체, 고효율 보일러 교체 등의 에너지 절약 설비 설치 시 시민들의 경제 부담을 완화시키기 위해 장기·무이자로 융자를 지원해주는 사업 입니다.",https://housing.seoul.go.kr/site/main/content/sh01_070902
신혼부부,주택개량 신축융자지원,저층주거지 내 노후주택 집수리 융자 지원 집수리 공사비용의 일부를 지원하여 저층주거지 내 노후주택 거주자의 주거환경을 개선하기 위한 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_070802
신혼부부,안심 집수리 보조사업,"반지하 주택, 주거 취약가구 거주주택 등 취약 거주시설의 주거환경 개선을 위해 집수리 보조금 일부를 지원하는 사업입니다.",https://housing.seoul.go.kr/site/main/content/sh01_070801
신혼부부,집수리 아카데미,"주택의 자가진단, 견적서 보는 법, 단열·방수 등 분야별 이론교육과 공구사용법 등 다양한 실습교육을 통해 스스로 집수리를 할 수 있도록 도움을 드리는 교육과정입니다.",https://housing.seoul.go.kr/site/main/content/sh01_070704
신혼부부,슬레이트 처리 및 지붕 개량,1군 발암물질인 석면을 10~15% 가량 고함량으로 함유하고 있는 슬레이트를 지붕으로 쓰고 있는 70년대 초 낡은 가옥들의 노후화에 따른 석면 피해를 줄이기 위해 슬레이트 지붕의 조기 철거와 처리를 위한 사업 입니다.,https://housing.seoul.go.kr/site/main/content/sh01_070703
신혼부부,공동체 주택,"독립된 공동체공간(커뮤니티 공간)을 설치한 주거공간으로, 공동체 규약을 마련하여 입주자간 소통·교류를 통해 생활 문제를 해결하거나 공동체활동을 함께하는 새로운 형태의 주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_050101
신혼부부,신축주택 매입임대주택,"서울시에서 생활하는 저소득층, 저소득 청년층 및 신혼부부의 주거안정을 위해 중앙정부·서울시·서울주택도시공사의 재정과 주택도시기금을 지원받아 서울주택도시공사에서 주택을 매입하여 현 생활권에서 최장 20년까지 거주할 수 있도록 주변시세보다 저렴하게 공급하는 공공임대주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_030900
신혼부부,신혼희망타운,"내집마련의 부담을 느끼는 신혼부부를 위해 육아·보육을 비롯한 신혼부부 수요를 반영하여 건설하고, 전량을 신혼부부에게 공급하는 신혼부부 특화형 공공주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_060511
신혼부부,희망의 집수리 사업,주택 수리를 통하여 저소득 주거취약가구의 열악한 주거환경을 개선하여 주택 에너지 효율을 개선하고 삶의 질을 향상하기 위한 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_070701
신혼부부,주거급여 수급자 지원(임차급여),주거급여 수급자 가구 중 타인에 주택 등에 거주하면서 임대차 계약(전대차 계약 포함)을 체결하고 이에 따라 임차료를 지불하고 있는 사람에게 일정한 임차급여를 지원하여 주거안정에 기여하는 제도입니다.,https://housing.seoul.go.kr/site/main/content/sh01_061021
신혼부부,서울형 주택바우처(특정바우처),쪽방 및 사회복지시설 퇴거자의 임대료 지원을 위해 민간임대주택으로 이주한 가구의 초기 주거 안정 및 정착을 돕기 위하여 임대료 일부를 지원하는 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_061024
신혼부부,서울형 주택바우처(일반바우처),"저소득 서민의 주거비 부담 완화를 위해 민간월세로 거주하는 저소득 서민의 주거비 부담을 최소화하고, 주거 취약계층의 주거안정을 도모하기 위해 서울형 주택 바우처(임대료 보조지원)을 지원합니다.",https://housing.seoul.go.kr/site/main/content/sh_061010
신혼부부,주거급여 수급자 지원(수선유지급여),"주거급여 수급자 가구 중 주택을 소유한 가구에 대하여 주택 노후도 등 주택 상태를 종합 점검하여 보수 범위를 경, 중. 대보수로 차등 적용하여 최저주거기준 보장을 강화할 뿐 아니라 양질의 주택재고 확보에도 기여하는 제도입니다.",https://housing.seoul.go.kr/site/main/content/sh01_080200
신혼부부,육아협동조합주택,공동의 육아를 목적으로 하는 입주자를 위해 육아 전용 협동조합형 임대주택으로 조합원의 주거커뮤니티를 강조하는 임대주택입니다.,https://housing.seoul.go.kr/site/main/content/sh01_050602
신혼부부,예술인 협동조합주택,문화예술 활동을 공동의 목적으로 하는 입주자들을 위해 공공임대주택을 최소비용으로 공급해 예술인들의 성장기반을 일구고 창업에 성공할 수 있도록 든든하게 지원합니다.,https://housing.seoul.go.kr/site/main/content/sh01_050601
신혼부부,1인창조기업인 원룸 주택,독립적 사무공간을 확보하지 못한 1인 창조기업인을 위해 원룸형 공공임대주택을 최소비용으로 공급해 기업의 성장기반을 일구고 창업에 성공할 수 있도록 든든하게 지원합니다.,https://housing.seoul.go.kr/site/main/content/sh01_050500
신혼부부,청년안심주택,청년의 주거안정을 위해 통학 및 출근이 용이한 역세권에 청년 임대주택을 공급하는 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_060502
신혼부부,보증금지원형 장기안심주택,"무이자로 보증금지원을 원하는 세입자를 위해 전세보증금의 30%(최대 4,500만원까지)를 서울시에서 무이자로 최장 10년까지 지원하는 임대주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_031100
신혼부부,기존주택 전세임대주택,"보증금이 부족한 최저주거취약계층을 위해 서울주택도시공사, 한국토지공사가 최대 1억 2천만원까지 전세자금을 지원하고, 전세계약을 체결 후 최장 20년까지 지원하는 임대주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_031000
신혼부부,1인가구 주택관리서비스,1인 임차가구의 안전하고 행복한 주거환경 조성을 위해 '신속생활불편처리·홈케어·클린케어' 서비스를 제공합니다.,https://housing.seoul.go.kr/site/main/content/sh01_061028
신혼부부,서울형 주택바우처 (반지하 거주가구 이주 지원),반지하 거주 가구의 주거 상향을 위해 반지하 거주 가구가 신속히 지상층으로 이주하여 주거 안정을 도모할 수 있도록 월세를 지원합니다.,https://housing.seoul.go.kr/site/main/content/sh01_061031
신혼부부,도시형생활주택,"늘어나는 1~2인 가구와 서민의 주거 안정을 위해 '국토의 계획 및 이용에 관한 법률'에 따라 300세대 미만의 국민주택 규모로 단지형 연립주택, 단지형 다세대주택, 원룸형을 지원합니다.",https://housing.seoul.go.kr/site/main/content/sh01_030800
신혼부부,장기전세 주택,"무주택 서울시민의 주거안정을 위해 전세보증금을 주변시세의 80퍼센트 이하로 공급하고, 최장 20년까지 이사 걱정없이 분양전환되지 않는 공공임대주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_030600
신혼부부,행복주택,"대학생, 사회초년생, 신혼부부 등 젊은 계층의 거주비와 사회적 비용 절감으로 거주 불안을 해소할 수 있도록 대중교통이 편리하고, 직장(학교)와 집 간의 거리가가까운 부지를 활용해 저렴하게 공급합니다.",https://housing.seoul.go.kr/site/main/content/sh01_030500
신혼부부,국민임대주택,집 없는 서민들을 위해 생활편익시설이 잘 갖추어진 주택을 지어 최장 30년까지 저렴하게 임대합니다.,https://housing.seoul.go.kr/site/main/content/sh01_030300
신혼부부,공공임대주택,"내 집 없는 무주택자를 위해 가구당 소득수준, 재산규모에 따라 다양한 공공임대주택을 지원하는 사업입니다.",https://housing.seoul.go.kr/site/main/content/sh01_031200
청년,청년임차보증금 이자지원,목돈 마련이 어려운 근로청년 및 취업준비생의 소득대비 높은 주거비용 부담경감을 위해 임차보증금 대출을 지원 합니다.,https://housing.seoul.go.kr/site/main/content/sh01_040901
청년,청년전세임대주택,"대학생, 취업준비생의 전세임대를 돕기 위해 입주대상자로 선정된 자(대학생,취업준비생)가 거주할 지역을 물색하면 LH가 주택소유자와 전세계약을 체결한 후 재임대하는 정책입니다.",https://housing.seoul.go.kr/site/main/content/sh01_060506
청년,청년월세지원,서울에 거주하는 청년의 주거비 부담완화와 안정적 주거환경 마련을위한 서울시의 청년주거복지사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_060513
청년,보호종료아동 및 쉼터퇴소 청소년 대상 임대주택 지원,아동복지시설 또는 청소년쉼터에서 퇴소예정인 청소년을 위해 청년 매입임대주택을 퇴소한 지 5년이 지나지 아니 한 자에 한하여 공급물량의 5% 범위 내 우선 지원하는 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_061027
청년,청년협동조합주택,"자립기반이 취약한 청년을 위해 제공되는 공공주택으로 만19세 ~ 만35세 이하인 청년, 1인 직장인 및 입주자모집공고 연도의 대학교 졸업예정자를 대상으로 공급하는 공공주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_050603
대학생,행복기숙사,대학생들의 경제적 부담 경감과 주거안정을 위해 대학교와 공동으로 비용이 저렴한 기숙사를 건립하여 대학생이 함께 사용하는 기숙사입니다.,https://housing.seoul.go.kr/site/main/content/sh01_060510
대학생,노장청 쉐어하우스,"해당 지역 대학생의 주거 마련을 위해 대학가나 청년이 많이 사는 곳에 할머니, 할아버지가 남는 방을 학생에게 시세보다 저렴한 값에 방을 빌려주는 것을 말합니다.",https://housing.seoul.go.kr/site/main/content/sh01_060504
대학생,희망하우징,저렴한 임대료를 선호하는 서울소재 대학생을 위해 서울주택도시공사에서 건설한 공공기숙사를 임대보증금 100만원으로 저렴하게 공급하는 대학생 전용 임대주택입니다.,https://housing.seoul.go.kr/site/main/content/sh01_050700
청년,자녀출산 무주택가구 주거비 지원,무주택 가구의 주거비 부담을 줄여 안정된 주거환경 속에서 자녀를 출산 할 수 있도록 지원하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006181&wlfareInfoReldBztpCd=02
청년,서울시 저소득 중증장애인 전세주택 제공사업,저소득 중증장애인이 월세 부담에서 벗어나 전세주택에 입주할 수 있도록  최장 6년간 무상으로 전세보증금을 지원하여 주거환경 개선 및 지역사회 자립기반 마련에 도움을 주고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002109&wlfareInfoReldBztpCd=02
청년,강남구 신혼부부 청년 전월세 대출이자 지원사업,강남구 거주 신혼부부 및 청년 주거비 부담 완화,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005414&wlfareInfoReldBztpCd=02
청년,희망두배 청년통장,"학자금 대출, 주거비, 비정규직 취업 등으로 어려움을 겪고 있는 청년 대상 자산형성 지원을 통하여 서울시 근로청년의 자립의욕 고취 및 미래희망을 설계하도록 하는 사업",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005247&wlfareInfoReldBztpCd=02
청년,신혼부부 임차보증금 지원사업,신혼부부의 주거비 부담 경감 및 주거안정성 강화를 위해 임차보증금 대출을 지원하여 주거배려 계층의 주거디딤돌 역할 마련,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002617&wlfareInfoReldBztpCd=02
청년,도봉형 청년 전세보증금반환보증 보증료 지원 사업,국토교통부 전세보증금반환보증 사업의 청년 대상 연령을 보완하여 도봉구 40~45세 청년에게 보증료를 지원하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005572&wlfareInfoReldBztpCd=02
청년,청년임차보증금 이자지원사업,"서울시 내 주택에 임차하려는 청년에게 보증금을 위한 대출금 이자를 지원해줌으로서, 주거비를 감소시키는데 목적이 있음",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002637&wlfareInfoReldBztpCd=02
